index,s1,r,s2,label
"0","sale","had been expected","part","0"
"0","sale","had been expected","KKR 's program","0"
"0","sale","had been expected","6 billion bridge loan","0"
"0","sale","had been expected","February","0"
"0","sale","of","KKR 's program","0"
"0","sale","of","6 billion bridge loan","0"
"0","sale","of","February","0"
"0","sale","pay","6 billion bridge loan","0"
"0","sale","pay","February","0"
"0","sale","by","February","0"
"0","part","of","KKR 's program","0"
"0","part","of","6 billion bridge loan","0"
"0","part","of","February","0"
"0","part","pay","6 billion bridge loan","0"
"0","part","pay","February","0"
"0","part","by","February","0"
"0","KKR 's program","pay","6 billion bridge loan","0"
"0","KKR 's program","pay","February","0"
"0","KKR 's program","of","6 billion bridge loan","0"
"0","KKR 's program","of","February","0"
"0","KKR 's program","by","February","0"
"0","6 billion bridge loan","by","February","0"
"0","sale","part of","program","1"
"0","KKR","'s","program","1"
"0","program","pay down","$ 5 billion","1"
"0","$ 5 billion","of","bridge loan","1"
"0","bridge loan",",","$ 6 billion","1"
"0","program","pay down","bridge loan","1"
"0","pay down","by","February","1"
"1","debt","been repaid from","asset sales","0"
"1","debt","been repaid from","RJR","0"
"1","debt","been repaid from","part sale","0"
"1","debt","been repaid from","RJR Del Monte unit","0"
"1","debt","use","part sale","0"
"1","debt","use","RJR Del Monte unit","0"
"1","debt","from","part sale","0"
"1","debt","from","RJR Del Monte unit","0"
"1","debt","pending","part sale","0"
"1","debt","pending","RJR Del Monte unit","0"
"1","debt","of","RJR Del Monte unit","0"
"1","asset sales","use","part sale","0"
"1","asset sales","use","RJR Del Monte unit","0"
"1","asset sales","from","part sale","0"
"1","asset sales","from","RJR Del Monte unit","0"
"1","asset sales","pending","part sale","0"
"1","asset sales","pending","RJR Del Monte unit","0"
"1","asset sales","of","RJR Del Monte unit","0"
"1","RJR","use","part sale","0"
"1","RJR","use","RJR Del Monte unit","0"
"1","RJR","from","part sale","0"
"1","RJR","from","RJR Del Monte unit","0"
"1","RJR","pending","part sale","0"
"1","RJR","pending","RJR Del Monte unit","0"
"1","RJR","of","RJR Del Monte unit","0"
"1","part sale","of","RJR Del Monte unit","0"
"1","$ 2 billion","of","debt","1"
"1","$ 2 billion","repaid from","previous asset sales","1"
"1","$ 2 billion","from","two-part sale","1"
"1","two-part sale","of","Del Monte unit","1"
"2","RJR","obtain","dollar","0"
"2","RJR","obtain","RJR","0"
"2","RJR","obtain","assets","0"
"2","RJR","obtain","candy brands","0"
"2","RJR","for","RJR","0"
"2","RJR","for","assets","0"
"2","RJR","for","candy brands","0"
"2","RJR","like","candy brands","0"
"2","dollar","for","RJR","0"
"2","dollar","for","assets","0"
"2","dollar","for","candy brands","0"
"2","dollar","like","candy brands","0"
"2","RJR","like","candy brands","0"
"2","assets","like","candy brands","0"
"2","to obtain","to obtain","top dollar","1"
"2","top dollar","for","smaller assets","1"
"2","smaller assets","like","candy brands","1"
"3","Louis Gerstner Jr.","of","New York","0"
"3","Louis Gerstner Jr.","of","RJR","0"
"3","Louis Gerstner Jr.","of","sale","0"
"3","Louis Gerstner Jr.","of","step","0"
"3","Louis Gerstner Jr.","of","company 's divestiture program","0"
"3","Louis Gerstner Jr.","of","divestiture","0"
"3","Louis Gerstner Jr.","based","RJR","0"
"3","Louis Gerstner Jr.","based","sale","0"
"3","Louis Gerstner Jr.","based","step","0"
"3","Louis Gerstner Jr.","based","company 's divestiture program","0"
"3","Louis Gerstner Jr.","based","divestiture","0"
"3","Louis Gerstner Jr.","called","sale","0"
"3","Louis Gerstner Jr.","called","step","0"
