index,s1,r,s2,label
"0","World","renowned","Ren é Redzepi","0"
"0","World","renowned","Noma","0"
"0","World","renowned","Redzepi","0"
"0","World","renowned","Copenhagen restaurant","0"
"0","World","renowned","road","0"
"0","World","renowned","week pop","0"
"0","World","renowned","Mexico","0"
"0","World","renowned","Redzepi","0"
"0","World","taking","Noma","0"
"0","World","taking","Redzepi","0"
"0","World","taking","Copenhagen restaurant","0"
"0","World","taking","road","0"
"0","World","taking","week pop","0"
"0","World","taking","Mexico","0"
"0","World","taking","Redzepi","0"
"0","World","on","road","0"
"0","World","on","week pop","0"
"0","World","on","Mexico","0"
"0","World","on","Redzepi","0"
"0","World","with","week pop","0"
"0","World","with","Mexico","0"
"0","World","with","Redzepi","0"
"0","World","in","Mexico","0"
"0","World","in","Redzepi","0"
"0","Ren é Redzepi","taking","Noma","0"
"0","Ren é Redzepi","taking","Redzepi","0"
"0","Ren é Redzepi","taking","Copenhagen restaurant","0"
"0","Ren é Redzepi","taking","road","0"
"0","Ren é Redzepi","taking","week pop","0"
"0","Ren é Redzepi","taking","Mexico","0"
"0","Ren é Redzepi","taking","Redzepi","0"
"0","Ren é Redzepi","taking","head","0"
"0","Ren é Redzepi","on","road","0"
"0","Ren é Redzepi","on","week pop","0"
"0","Ren é Redzepi","on","Mexico","0"
"0","Ren é Redzepi","on","Redzepi","0"
"0","Ren é Redzepi","on","head","0"
"0","Ren é Redzepi","with","week pop","0"
"0","Ren é Redzepi","with","Mexico","0"
"0","Ren é Redzepi","with","Redzepi","0"
"0","Ren é Redzepi","with","head","0"
"0","Ren é Redzepi","in","Mexico","0"
"0","Ren é Redzepi","in","Redzepi","0"
"0","Ren é Redzepi","in","head","0"
"0","Ren é Redzepi","charge","head","0"
"0","Noma","on","road","0"
"0","Noma","on","week pop","0"
"0","Noma","on","Mexico","0"
"0","Noma","on","Redzepi","0"
"0","Noma","on","head","0"
"0","Noma","on","dinner","0"
"0","Noma","with","week pop","0"
"0","Noma","with","Mexico","0"
"0","Noma","with","Redzepi","0"
"0","Noma","with","head","0"
"0","Noma","with","dinner","0"
"0","Noma","in","Mexico","0"
"0","Noma","in","Redzepi","0"
"0","Noma","in","head","0"
"0","Noma","in","dinner","0"
"0","Noma","charge","head","0"
