index,s1,r,s2
2,thousands,horn,facts
2,jurors,horn,facts
2,jurors,horn,case
2,thousands,horn,case
2,thousands,horn,thousands
2,jurors,horn,thousands
2,jurors,horn,jurors views
2,attitudes,horn,case
2,attitudes,horn,thousands
2,attitudes,horn,jurors views
5,consulting firm,helping,America prepare
5,consulting firm,helping,stakes litigation
8,billion jury verdict,against,Texaco Inc
9,National Football League,in,United States Football League
11,65 million pounds,of,mushrooms
13,resignation,of,company president C. Joseph LaBonte
14,two months,of,Mark Goldston
14,resignation,of,Mark Goldston
14,resignation,of,vice president
15,income,report,spouse 's Social Security number
15,computer,report,spouse 's Social Security number
15,payer,report,spouse 's Social Security number
15,deduction,report,spouse 's Social Security number
17,target groups,assigned,projects
17,target groups,assigned,attention
18,auditors,detect,dependents frees
18,auditors,among,dependents frees
18,area,among,tax withholding
18,pattern,among,dependents frees
18,pattern,among,tax withholding
18,workers,of,dependents frees
18,workers,of,tax withholding
18,workers,from,tax withholding
18,dependents frees,from,tax withholding
18,tax withholding,from,charter businesses
21,telephone interview,from,New York
23,publishing groups,of,Advance Publications
25,Tharp,pleaded,one charge
25,Tharp,pleaded,return
25,one charge,of filing,return
26,targets,invested in,films
26,members,invested in,films
26,losses,invested in,films
26,losses,invested in,airline pilots
26,tax shelters,invested in,films
26,tax shelters,invested in,airline pilots
26,tax shelters,dubbed,films
27,IRS,won,Supreme Court
27,exemptions,received,return
27,exemptions,in,return
27,members ' payments,received,return
27,members ' payments,in,return
31,spinoff,of,Sports Illustrated
31,spinoff,aimed at,Sports Illustrated
31,spinoff,on,Sports Illustrated
32,consumer magazines,increased by,80 magazines
32,consumer magazines,increased by,Donald Kummerfeld
32,consumer magazines,increased by,president
32,consumer magazines,increased by,America
32,consumer magazines,of,80 magazines
32,consumer magazines,of,America
32,80 magazines,of,America
32,president,of,America
33,business executive,in,New York
37,living ballplayer,done,Jack Smalling
37,Jack Smalling,in,Iowa
37,Jack Smalling,in,baseball autographs
37,Jack Smalling,recognized,baseball autographs
37,Jack Smalling,of,baseball autographs
38,400 million junk bond sale,was designed,restructuring
40,American Medical International,agreed,Pritzker family
40,American Medical International,from,Pritzker family
40,American Medical International,from,Chicago
40,American Medical International,of,Chicago
40,Pritzker family,of,Chicago
41,buy,offering,63 million American Medical shares
41,63 million American Medical shares,from,million shares
41,63 million American Medical shares,in,million shares
41,63 million American Medical shares,of,million shares
41,63 million American Medical shares,for,million shares
43,McCaw,offering,McCaw television properties
43,McCaw,offering,pay shareholders
43,McCaw,offering,dividend
43,McCaw,offering,telephone operations
43,McCaw,challenging,McCaw television properties
43,McCaw,challenging,dividend
43,McCaw,challenging,telephone operations
43,McCaw,spin,telephone operations
43,22 million LIN shares,challenging,McCaw television properties
43,22 million LIN shares,challenging,telephone operations
45,Traders,hurt,skittishness
45,Traders,financed,skittishness
45,investment bankers,hurt,skittishness
45,investment bankers,financed,skittishness
45,LIN shares,hurt,skittishness
45,LIN shares,financed,skittishness
45,BellSouth,financed,skittishness
45,well,financed,skittishness
47,shutdown,affect,term sales contracts
47,shutdown,affect,Freeport
47,shutdown,affect,McMoRan Freeport Uranium Recovery Co. unit
47,shutdown,under,Freeport
47,shutdown,under,McMoRan Freeport Uranium Recovery Co. unit
47,shutdown,of,Freeport
47,shutdown,of,McMoRan Freeport Uranium Recovery Co. unit
47,term sales contracts,of,Freeport
47,term sales contracts,of,McMoRan Freeport Uranium Recovery Co. unit
47,term sales contracts,sold on,spot market
54,35 years,resigned as,Federal Communications Commission
56,RICHARD P. MAGURNO,joined,New York law firm
56,lawyer,joined,New York law firm
61,Japan,cut,Japan
62,state,combed through,stockbrokers
62,state,combed through,New York City area
62,state,combed through,construction workers
62,architects,claim,Florida
62,stockbrokers,claim,income tax
62,lawyers,claim,income tax
62,New York City area,claim,income tax
62,construction workers,claim,income tax
62,state,claim,income tax
62,homeowners,claim,income tax
63,Frederick G. Hicks,of,matching programs
71,extradition,of,1982 bombing
71,extradition,of,Pan American Airways flight
71,extradition,wanted in,1982 bombing
71,extradition,wanted in,Pan American Airways flight
71,extradition,for,1982 bombing
71,extradition,for,Pan American Airways flight
71,Mohammed Rashid,wanted in,1982 bombing
71,Mohammed Rashid,for,1982 bombing
71,1982 bombing,of,Pan American Airways flight
72,courts,of,extradition
