index,s1,r,s2
0,San Fran,unveiled,2015 Consumer Electronics Show
0,Las Vegas,unveiled,2015 Consumer Electronics Show
0,Audi,unveiled,2015 Consumer Electronics Show
0,Power,mated,lithium
0,Power,mated,ion battery
0,turbo,mated,speed transmission
0,turbo,mated,motor
0,turbo,mated,lithium
0,turbo,mated,ion battery
7,guys,building,three vehicles
7,guys,building,guys
9,McLaren,suffered,New Zealand
14,Widestar,limited,162 mph
18,aero systems,best,aero obsession
18,aero systems,best,tires
20,Tesla,flexes,Tesla muscles
20,Toyota,flexes,Tesla muscles
22,half,cancelled,half
22,half,cancelled,half jackets
22,half,splurge on,winter tires
23,Ford,shocked,2017 GT
23,Ford,revealed,2017 GT
27,GT,intended,production
27,GT,modern,day standards
27,GT,modern,Aston Martin
27,GT,modern,raft
27,GT,modern,upgrades
27,GT,fitted,continuation model
27,GT,fitted,raft
27,GT,fitted,upgrades
27,GT,with,raft
27,GT,with,upgrades
33,Markus Storck,commissioned,seven custom cars
33,Markus Storck,commissioned,Markus Storck
33,Markus Storck,commissioned,Markus Storck mates
33,Aston Martin ’ Aston Martin Q,commissioned,seven custom cars
33,personalization division,commissioned,seven custom cars
33,Markus Storck ’ s,commissioned,seven custom cars
35,PSC Motors,revealed,Thai kid
44,Audi Exclusive,featuring,diamond quilting
48,understatement,priced at,million AED
48,Dubai dealer Deals,priced at,million AED
52,350,with,350
54,EXP,concept shown,Geneva motor show
54,EXP,concept shown,Porsche Macan
54,10 Speed,concept shown,Geneva motor show
54,10 Speed,concept shown,Porsche Macan
57,sale price,have,afford No sale price
59,chassis,include,custom filter
60,Furious,confirmed that,Furious
68,Miata Mazda didn ’ t build,with,insurance costs
68,Miata Mazda didn ’ t build,know,insurance costs
78,Jeremy Clarkson,host,Top Gear
78,Gear,related,2014 Ford F-150 VelociRaptor
