index,s1,r,s2
"0","McDonald ’","pursuing","sustainable beef"
"1","Everybody Loves Raymond","creator","Phil Rosenthal"
"1","disturbing trend","of","Tide Pod consumption"
"1","New York ’ s","grossest dive","Continental Bar"
"1","Continental Bar","grammar - shaming","customers"
"1","Dave Chang ’ s","delivery - only","Ando"
"1","Dave Chang ’ s","opening","Majordomo"
"2","Southern California - based restaurant group","serving","Mexican - American cuisine"
"2","Mexican - American cuisine","with","molecular gastronomy"
"2","molecular gastronomy","called","Taco Bell"
"3","Trump","inside","hotel empire"
"3","sushi restaurant","inside","Trump SoHo Hotel"
"3","Trump SoHo Hotel","in","Manhattan"
"3","sushi restaurant","close","mid - June"
"3","Grub Street","reports","sushi restaurant"
"4","basic rolls","averaging","$ 5.40"
"5","“ Barbados","recommends","traditional taste"
"5","“","trying","flying fish"
"5","“","trying","pudding and souse"
"5","pudding and souse","made of","pig parts"
"5","pig parts","served with","sweet potato pudding"
"6","Wolfgang Puck","got","Walk of Fame"
"6","Celebrity chef","to","Wolfgang Puck"
"7","unwanted text messages","from","acquaintance"
"7","unwanted text messages","is","nightmare scenario"
"8","Anozie","replied","STOP ” on multiple occasions"
"8","lawsuit","in","United States District Court Central District of California"
"8","messages","kept","coming"
"9","Noma Mexico","call","nerds"
"10","Dining on a Dime","on","Facebook"
"11","sitting down","to","full meal"
"11","sustenance","required for","long day ahead"
"12","American Diner Museum","defines","humble restaurants"
"13","Explore Parts Unknown",",","online counterpart"
"14","sauce","embodies","Fieri brand"
"15","Dha Rae Oak","roasts","duck"
"15","duck","stuffed with","glutinous rice"
"15","duck","stuffed with","mung beans"
"15","duck","stuffed with","nuts"
"15","duck","stuffed with","seeds"
"16","Michelin Guide","arrive by","end of 2017"
"17","guide","to","winter - themed cooking shows"
"18","California","passed","paid family leave laws"
"18","Rhode Island","passed","paid family leave laws"
"18","New Jersey","passed","paid family leave laws"
"18","New York","passed","paid family leave laws"
"18","District of Columbia","passed","paid family leave laws"
"19","Morgan Freeman","sipping on","Mountain Dew Ice"
"19","Morgan Freeman","lip - syncing","Missy Elliott ’ s “ Ur Freak On On"
"20","Syhabout","write","book"
"20","book","about","growing up"
"20","growing up","on","Oakland block"
"20","growing up","with","Lao refugee families"
"20","Thai restaurant","become","Hawker Fare —"
"20","his mom","operated","Thai restaurant"
"21","Customers","Customers","Customers"
"21","Customers","choosing","specialty cocktail"
