index,s1,r,s2
"0","Crispy Bird","opens in","Indianapolis"
"0","chef David Hoover","open","fried chicken shack"
"0","Indianapolis empire-builder Martha Hoover","mother","chef David Hoover"
"0","chef David Hoover","attended","culinary school"
"0","culinary school","in","France"
"0","chef David Hoover","in","Copenhagen"
"0","chef David Hoover","back in","Indianapolis"
"0","Crispy Bird","represents","Patachou , Inc"
"0","Patachou , Inc","in","Indianapolis area"
"1","creators","of","Saturday Night Live"
"1","creators","of","longest-running sketch show"
"1","longest-running sketch show","on","television"
"1","Saturday Night Live","releasing","own brand of booze"
"1","own brand of booze","named","Debbie Downer South Eastern Australian Chardonnay"
"1","own brand of booze","named","Stefon Beaujolais"
"1","own brand of booze","named","Californians Monterey County Merlot"
"1","Hot Tub Love-ahs","don ’ t have","own bottle"
"1","Californians","associated with","Central Coast merlot"
"1","Stefon","’ s","vodka and Red Bull kind of guy"
"2","Japanese bento boxes","contain","light , healthy items"
"2","lunch delivery service","called","Gochikuru"
"2","two-foot-wide cow-shaped box full","of","wagyu beef"
"2","wagyu beef","from","Tottori Prefecture"
"2","wagyu beef","arranged over","Kinu Musume rice"
"2","wagyu beef","be","most delectable meat"
"2","most delectable meat","in","world"
"3","Lily Wen","into","tropical jungle"
"3","tropical jungle","of","Taitung , Taiwan"
"3","Dangaw ( Piper betle )","is","vine ’ s name"
"3","Dangaw ( Piper betle )","in","Rukai language"
"3","Laoye 荖 葉","is","Mandarin name"
"3","Lily Wen","says in","Chinese"
"3","Dangaw ( Piper betle )","’ s considered","culinary delicacy"
"3","Dangaw ( Piper betle )","is","Wen ’ s favorites"
"4","Michelin , the tire company","awards","fine dining destinations"
"4","Michelin , the tire company","released","2018 guide"
"4","2018 guide","to","Hong Kong"
"4","2018 guide","to","Macau"
"4","2018 guide","includes","74 starred recommendations"
"4","Michelin , the tire company","awards","stars"
"4","stars","including","Eater Essential 38 restaurant Lung King Heen"
"4","Eater Essential 38 restaurant Lung King Heen","from","Chinese chef"
"4","one-star","include","Arcane , Kaiseki Den by Saotome , Imperial Treasure , and Cantonese restaurants Ying Jee Club and Yee Tung Heen"
"5","Times-Picayune","expose","pervasive harassment"
"5","pervasive harassment","within","Besh Restaurant Group"
"5","Besh Restaurant Group","in","New Orleans"
"5","Amanda Cohen","speaking out about","sexual harassment"
"5","Anthony Bourdain","decried","systemic sexism"
"5","Tom Colicchio","decried","systemic sexism"
"5","Daniel Patterson","decried","systemic sexism"
"5","systemic sexism","in","restaurant industry"
"6","Americans","own","cell phone"
"6","opportunistic restaurateurs","encouraging","smartphone usage"
"6","opportunistic restaurateurs","with","Instagram"
"6","photos","become","marketing"
"6","Starbucks","rode","Instagram"
"6","Starbucks","releasing","Unicorn"
"6","Cuban restaurant Media Noche","in","San Francisco ’ s Mission District"
"6","Cuban restaurant Media Noche","provides","Instagram-ready content"
"6","Instagram-ready content","in","floral-tiled floors"
"6","Starbucks","releasing","Frappuccinos"
"7","Burger King","buying","Popeyes"
"7","Burger King","buying","Panera"
"7","Burger King","buying","Au Bon Pain"
"7","BWW","to","Roark Capital Group"
"7","Roark Capital Group","controls","roast beef sandwich-slinging fast-food brand Arby"
"7","Roark Capital Group","controls","sandwich chain Jimmy John ’ s"
"7","Roark Capital Group","controls","Carl ’ s Jr. and Hardee ’ s parent company CKE Restaurants. Acquiring"
"7","restaurant analyst Bonnie Riggs","of","market research firm NPD Group"
"7","Roark Capital Group","used to own","BWW competitor Wingstop"
"8","contraption","with","words “ Mac & Cheese Nation"
"8","words “ Mac & Cheese Nation","looks like","cross"
"8","cross","between","electric kettle and a children ’ s toy"
"8","process","using","mac and cheese maker"
"8","downsides","to","mac and cheese maker"
"8","mac and cheese maker","’ s","plastic"
"8","longevity","isn ’ t","selling point"
"8","crank system","is","useless"
"8","mac and cheese chef","need","research"
"9","Nickelodeon","parent company","Viacom"
"9","Viacom","lawsuit","IJR Capital Investments"
"9","IJR Capital Investments","operating","The Krusty Krab"
"9","Nickelodeon","cartoon","SpongeBob SquarePants"
"9","SpongeBob","works","The Krusty Krab"
"9","Viacom","trademark","The Krusty Krab"
