index,s1,r,s2
0,autonomous,drive,autonomous
0,Prologue Piloted Driving Concept,based off,LA
0,central controller,known as,video cameras
0,twin - turbo,mated to,speed transmission
0,hybrid setup,enables,677 hp
0,0 - 62 mph,comes in at,seconds
1,Swiss,outfit,Dahler
1,Dahler,gave Dahler,issues
1,twin - turbo,lifts,365 hp
1,stainless - steel exhaust system,provides,throatier soundtrack
1,mods,include,inches front / rear
2,humans,is,cars
2,smashed Alfa Romeo Giulia,found by,Autoblog Netherlands
2,Quadrifoglio model,with,505 horsepower
2,46,crashed,record lap time
2,cruise,tossed back,many
3,Ford,launched,first Expedition
3,Both,were,body - on - frame chassis
3,Explorer,a,true SUV
3,Explorer,based on,Volvo sedan platform
3,complete redesign,snag,2017 Expedition
3,we,powered,365 hp
3,twin - turbo 3.5-liter EcoBoost,with,420 lb - ft of torque
3,previous 5.4-liter Triton,has been,permanently canned
4,Ferrari,commemorate,anniversary
4,488,is,two - seater
4,s,throwback,targa
4,Ferrari,is only building,ten
4,engine,from,488
4,488 Spider,achieved,0 - 62 mph time
5,Porsche,pronounce,Porsche Porsche
5,Porsche,is,fed up
5,Porsche,released,Por - Sher
6,Autonomous technology,is,car industry
6,Ford,aiming to have,autonomous cars
6,state of Michigan,to authorize,autonomous cars
6,law,required,backup driver
6,companies,doing,research
7,episode,of,The Grand Tour
7,mix,mix of,comedy
7,Amazon,released,trailer
7,trailer,for,fourth episode
7,trio,t leaving for,England
7,guys,building,cars
7,custom cars,mentions,green motorsport event
7,custom car challenges,were some of the best episodes,Top Gear
7,guys,of,three
7,James May,s,custom job
7,entire episode,centering around,custom - built eco - cars
8,Lamborghini,keeping details,Huracan Superleggera light
8,spy photographers,s,test
8,camouflage,served to help,bull
8,Lamborghini owners,taking,high - horsepower machines
8,Huracan Superleggera,replace,five - bolt wheels
8,Superleggera,including,large rear wing
9,Bugatti Chiron,crashed into,ditch
9,McLaren,suffered,New Zealand
9,Pagani Zonda,in,Tokyo
9,Pagani Zonda,was a,one - off special edition
9,Zonda,involved,Maybach
9,supercar,can,inexperienced driver
9,bespoke Zonda Zozo,delivered to,Yusaku Maezawa
9,Lewis Hamilton,s,fiber
10,Los Angeles,is the,car capital of
10,city limits,contain,million people
10,limits,contain,Greater Los Angeles Area
10,them,subject to,urban design
10,Alfa Romeo,show Alfa its new,Stelvio
10,lifestyle images,are,images
10,new Stelvio,intended,S curves
10,Stelvio good looks,new,BMW X
11,Bugatti,about to reveal,"new "" model"
11,Vision Gran Turismo,can,video game
11,Veyron,compared a,beached whale whale
11,Gran Turismo,look,Vision Gran Turismo
11,Vision Gran Turismo,take,trophy
12,six figures,on,not a supercar
12,super sedans,as,BMW
12,super SUVs,such as,BMW X5 M
12,super SUVs,as,Tesla Model
12,M,will get,0 - 60 mph
13,General Motors,swallowed,eight historic Corvettes
13,General Motors,finished restoring,1 millionth Corvette
13,GM ’ S Design,effort,Mechanical Assembly Group and
13,two signed components,unable,recovered
13,the Corvette,restored by,Blue Devil ” prototype
14,Brabus,has to,tuning companies
14,Brabus,created,Brabus 850 6.0 Biturbo G63 Widestar
14,turbocharged V8 engine,packs,838 hp
14,turbocharged V8 engine,pumps out,lb - ft of torque
14,Brabus,increased,liters
14,standard turbos,replaced,larger compressor units
14,intake and charge air pipes,fitted with,gold heat reflection
14,SUV,fitted with,Brabus
14,Brabus sport exhaust system,with,stainless steel dual - side tailpipes
14,Widestar,can get,62 mph in 4.0 seconds
14,Brabus 850 G63 Widestart,at,Frankfurt Motor Show
15,Richard Petty,is,NASCAR
15,The King,for winning,the NASCAR Championship seven
15,racing legend,donated,special Mustang
15,American culture,or,NASCAR
15,Mustang,features,s Mustang blue color combination
15,Mustang blue color combination,famous by,Plymouth Superbird
15,Petty,complement,black paint job
15,special Mustang,features,exterior
15,special Mustang,fitted with,Roush TVS 2300 Supercharger
15,Mustang,with,cold - air intake
15,Petty,comes with,Big Brake Kit
15,vehicle,on,Dallas Auction
16,Continental Orange Porsche 918 Spyder,with,Weissach package
16,factory - installed Weissach package,boosts,918
16,918 wheels,replacing,magnesium units
16,918 wheels,with,lighter brake system
16,Porsche 918 Spyder,powered,hybrid electric drive system
16,Porsche 918 Spyder,produces,944 lb - feet of torque
16,car,has,top speed
17,Dodge Viper,s,future
17,contract,negotiations between,Fiat Chrysler
17,the Viper,be phased out,2017
17,Challenger SRT Hellcat,is still more,powerful
17,Viper,become Dodge,Dodge new halo model
17,Carroll Shelby,consulted on,latest model
17,Dodge,gives the,Viper
17,Phase II Viper GTS,built from,1995 through 2002
17,And they,were,blue
18,paper airplane,in,aerodynamics
18,automotive engineers,were,airplane - throwing goofs
18,new model,feature,new aerodynamic technology
18,Automakers,designed,active aero systems
18,Yokohama,announced,type of technology
18,Yokohama,completed research on,fins
18,Yokohama,put into,production
18,automakers,fighting for,every extra mpg
18,automakers,fighting,off every tenth of
18,sidewall fins,may take away from the aesthetics of,rims
19,Max Siedentopf,as,tuner
19,Max Siedentopf,uses,masking tape
19,Max Siedentopf project,called,Slapdash Supercars
19,Max Siedentopf,with,Vice
19,ordinary,getting,personalized
19,hot hatch,with,cardboard wing
19,hot hatch,with,hood scoop
20,war,being waged by,automakers
20,Tesla,banking on,electricity
20,Toyota,takes off as,reliable fuel consumers
20,Toyota,wants to make,hydrogen revolution happen
20,US Department of Energy,in,12
20,Tesla,create Tesla,formidable charging infrastructure
21,Mercedes - Benz S - Class Coupe,expanding,Night Edition
21,Night Edition models,Set to debut at,Detroit Auto Show
21,distinctive radiator grille,been lavished in,high - gloss black finish
21,exclusive 20-inch AMG multi - spoke light - alloy wheels,feature,high - sheen rim flange
21,S - Class Night Edition,adapted,sportier look
21,Night Edition ” badge,fitted,wings
21,Night,with,Mercedes - Benz lettering
22,words,typed,pages
22,Engineering Explained,details,spiel
22,tread,is,main difference
22,Summer tires,have,rubber compound
22,Summer,stays,moderate to high temperatures
22,summer tires,turn into,a traction - free rock
22,winter tires,are,engineered
23,big reveals,expected at,2017
23,show,opens,Monday
23,show,running,Saturday
23,Detroit,in,North America
23,Porsche,would n't be,Detroit Auto Show
23,Ford,revealed,2017 GT
23,Ford,of,Corvette
23,prototype,features,aggressive aerodynamics kit
23,prototype,features,huge rear wing
24,Mitsubishi,closed Japanese,Japanese
24,Outlander Sport,build,1988
24,Rivian,is,Automotive
24,Rivian,plans,175
24,Rivian Automotive,founded in,2009
24,CEO RJ Scaringe,graduate of,RPI
24,Rivian,describes,integrated portfolio of products and
24,mission,redefine,automotive economics
25,drew,using,series of boxes
25,small long box,for,hood of the car
25,wheel arches,underneath,front
25,Ford,of,Taurus
25,shapely lines,for,rounded styling
25,consumers,no longer afford to pay the price of ownership for,boxier cars
25,cars,Faced with,strict fuel economy regulations
25,Tesla,like,ultra
26,BMW,s,M Division
26,Germany,s,Bimmer Today
26,BMW,s line of,xDrive vehicles
26,Bimmer,encapsulate,drive modes
26,rear - wheel drive train,wrapped in,AWD safety
26,Mercedes,did with,new AMG
26,AMG,features,drift mode
27,Aston Martin DB4 GT,in,revered
27,tourer,building ‘ continuation ’ models of,legendary grand tourer
27,Christmas,aren,Summer 2017
27,Aston,original,GT
27,GT Continuation,remains faithful to,1960 ’ s counterpart
27,GT,be based on,ultra - rare lightweight model
27,Aston Martin,fitted,GT
28,Lamborghini,is making an,SUV
28,Urus,revealed,2012 Bejing Auto Show
28,Urus,powered,600 hp
28,production model,go on sale,2018
28,Top,Magazine ’ s,Rowan
28,Rowan Horncastle,at,Munich airport
28,camouflage,lurking on,wrapping
28,SUVs,taking design inspiration from,Porsche Cayenne
29,autonomous car,will strip away,panic
29,autonomous car,strip away,truck drivers
29,auto,for,massive consolidation
29,automakers,distinguish,automakers
29,brands,guides,ride
29,Cars,like,Accord
29,cars,like,Volkswagen Jetta
29,car,can drive,a car
29,General,gone,Vice Chairman
30,Hellcat engine,powers,Dodge Charger
30,Jeep Wrangler,is,most capable off - roaders money
30,Frankenstein creation,is,scary
30,HEMI V8 engine,from,muscle
30,package,including,Borla exhaust system
30,Trailcat concept,add,rear tray
30,Trailcat,t going to go into,into production
30,Dakota,advises,road
31,Lamborghini Aventador SV,going to be a,limited edition thing
31,Lamborghini,planned to build exactly,600 examples
31,Redline,up,rpm
32,keys,steal,5 Series
32,he,through,a side window
32,police,responded to,hit and run report
