index,s1,r,s2
0,man,living,nightmare
0,Papa John,founder,mobile
0,lawsuit,filed in,United States District Court Central District of California
0,plaintiff,suffer,anxiety
1,chef Francis,proprietor,Kuko
1,His,wants,sushi
1,chef,at,Fred Armisen
1,Francis,star,hilarious Chef ’ s Table parody
1,clip,walking through,nature
2,Customers,at,bakeries
2,Fat Tuesday,fallen in,extreme cold snap
2,New Martha Washington Bakery,snaked,New Palace Bakery lines
2,Eater,stopped by,metro Detroit
3,McDonald,pursuing,sustainable beef
3,beef,funding,sustainable beef pilot
4,owner Ren,in,restaurant
4,New,tell,of new partners
4,Ali,become partners in,James
5,Campling,at,States
7,Sam Beall,in,Blackberry Farm
7,Sam Beall,was,39
7,Beall family,and,Blackberry Farm Blackberry Farm
7,Sam Beall,in,household name
7,Sandy Beall,founded,Ruby Tuesday
7,Sandy,of,luxury lodge
8,Germany,in,Germany beer industry
8,German beer,not be,pure as
8,Glyphosate,ingredient in,Roundup
8,Food,for,herbicide
8,experts,at,World Health Organization
9,episode,of,Other People 's Food
9,Rosie Perez,born in,actress
10,burglar,broke into,Tennessee restaurant
10,Tomato Head restaurant,in,Knoxville
10,burger bandits,in,UK
10,raccoon,for,booze
11,Deliveroo,specializes,"premium "" restaurants"
12,General Mills,sold under,Medal Flour
12,General Mills,working with,health officials
12,General,found in,Gold Medal flour
13,rough few,for,Chipotle
13,Chipotle,clean up,Chipotle act
13,Late,at,Chipotle
14,Flynn,at,dish
14,dishes,found at,ingredients
14,Eater,revealed on,Top Chef
15,best restaurant,in,America
15,Pepsi,opening,New York restaurant
15,PepsiCo,for bringing,Pepsi
16,Levi 's Stadium,in,Santa Clara
16,official app,found at,lines
16,Fans,place,Fans phones
16,Super Bowl app,incorporates,Levi 's Stadium
17,Tabasco Sauce Visitors Center,dubbed,Tabasco
17,McIlhenny Company,opened,McIlhenny Company Tabasco - inspired restaurant
18,Invisible Sentinel,scan for,coli
18,Chipotle,under fire,coli
18,Blue Bell Creameries,struggled with,listeria
18,customers,avoid,PR nightmares
19,Ren,announced,Ren
19,Noma Australia,opened,Sydney neighborhood
19,coastally,boast,oceanic plants
19,Produce items,utilized include,wild berries
19,Noma Australia,closes,Noma
20,woman,in,Richmond
20,Georgia Carter,contacted,local TV station
20,Georgia Carter,told,local reporter
