index,s1,r,s2
"0","X - Type","launched in","2001"
"1","X - Type","damned to","hell"
"2","upcoming SUV","naming","X - Type"
"3","Callum himself","favored","X - Type"
"4","Callum himself","voted for","F F - Pace"
"5","X - Type","remains","dead"
"6","Pagani Zonda","Dubbed","i"
"6","i","auctioned on","eBay"
"6","i","at","£ 7,100"
"7","Mercedes","unveiled","SL"
"7","Mercedes","in","LA"
"8","Mazda","with","RX - Vision"
"8","Mazda","at","Tokyo Motor Show"
"9","hybrid turbo rotary engine","“","16X"
"9","16X","features","twin-800cc rotor set - up"
"10","442 lb - ft of torque","coming from","twin - turbo 3.0-liter inline - six"
"10","GTS","does","0 - 60 mph in 3.7 seconds"
"10","GTS","tops out at","189.5 mph"
"11","GTS","outperform","standard M4"
"12","animals","at","top of the food chain"
"12","animals","no longer","hunting"
"13","Alfa Romeo","show","Alfa Romeo Project 952"
"13","Alfa Romeo","leaked","engine lineup"
"13","Alfa Romeo","’","Guilia"
"13","Guilia","competitor to","C - Class"
"14","Guilia","have","three engine types"
"15","Kahn","Design","vehicles"
"16","Kahn","known for","Huntsman"
"17","Huntsman","owned by","design company"
"17","Huntsman","at","Kirkstall Road"
"17","Kirkstall Road","in","Leeds"
"18","Veyrons","owned by","Kahn"
"19","Nissan","Nissan","R32"
"19","Nissan","Nissan","R33"
"19","Nissan","raced","R32"
"19","Nissan","raced","R33"
"20","Bugatti","work on","hypercar"
"20","hypercar","to","Bugatti"
"21","Scion","debuted","C - HR"
"21","Scion","at","LA"
"22","Toyota","debuted","five - door version"
"22","Toyota","at","Frankfurt Motor Show"
"23","Toyota New Global Architecture","(","TNGA"
"24","Toyota","at","Geneva International Motor Show"
"25","Ferrari","including","leather - wrapped"
"25","Ferrari","including","carbon fiber"
"26","the Pagani Huayra","getting","dirty"
"26","the Pagani Huayra","at","track"
"27","Tesla 's Gigafactory","located","in the Nevada desert"
"27","Tesla 's Gigafactory","attracted","two reporters"
"28","RDJ","climbing","fence"
"29","C6","against","GM"
"29","C6","claims","fraud"
"29","C6","claims","negligence"
"29","C6","claims","unjust enrichment"
"29","C6","causes","fail"
"30","GM","claiming","bad gas"
"31","F-150s","at","Las Vegas show"
"32","Forgiato F-150","comes with","Air Design USA"
"32","Forgiato F-150","comes with","premium bumpers"
"32","Forgiato F-150","comes with","Forgiato Terra wheels"
"32","Forgiato F-150","comes with","rancho six - inch lift kit"
"33","Leer Edition Outdoorsman F-150","in","gloss blue"
"34","Macan","intended for","suburban shopping"
"34","Macan","looks like","sporty SUV"
"35","Cadillac","releasing","Crystal White Frost"
"35","Cadillac","releasing","ATS - V"
"36","ATS - V","gets","aluminum wheels"
"36","ATS - V","gets","carbon - fiber package"
"36","carbon - fiber package","adds","front splitter"
"36","ATS - V","adds","hood vent"
"36","ATS - V","adds","rear diffuser"
"36","ATS - V","adds","extra aerodynamic rear spoiler"
"37","ATS - V","features","tri - zone climate system"
"38","6.3 liter V12","produces","950 hp and 664 lb - ft of torque"
"39","The Ferrari LaFerrari","executes","powerslide"
"40","Honda Performance Development","(","HPD"
"40","HPD","behind","Ridgeline"
"41","Mopar","at","SEMA"
"41","Mopar","in","Las Vegas"
"42","new LED lights","for","bottom grille"
"43","GT3","debut","Geneva"
"43","GT3","based on","AMG - GT"
"44","GT3","ready for","2016 GT3 racing season"
"44","GT3","replacing","SLS"
"45","503-hp","generated by","AMG - GT"
"45","AMG - GT","conceded","4.0-liter twin - turbo V8"
"46","Q30","at","Frankfurt"
"46","Q30","in","2013"
"47","SA Aperta","tuned by","Novitec"
"48","superchargers","to","6.0-liter V12"
"49","1,220","reference","1,220 mm height"
"50","article","in","no way"
"50","article","shape","DUIs"
"51","Jeff Stevens","of","Little Rock"
"51","Jeff Stevens","popped for","DUI"
"51","Jeff Stevens","driving","F-150"
"52","Ferrari","introduced","first - ever V8"
"52","Ferrari","in","1973"
"52","first - ever V8",":","308 GT4"
"53","348","in","1989"
"53","348","followed by","F355"
"53","348","in","1994"
"53","F355","use","F1 electrohydraulic manual gearbox"
"54","Mercedes","with","Inifiniti"
"55","Chrysler","working on","diesel engine"
"56","Alfa Romeo","working on","diesel"
"56","diesel","output","135 and 210 hp"
"57","Alfa","with","other models"
"57","Alfa","under the","FCA umbrella"
"58","Pagani Huayra","dubbed","730 S"
"58","730 S","commissioned by","Alejandro Salomon"
"59","730 S","boasts","carbon - fiber body"
"59","730 S","boasts","blue - tinted windows"
"59","730 S","boasts","golden Zonda wheels"
"60","V12","deliver","730 hp"
"61","730 S","revealed","to the public"
"61","730 S","at","Supercar Sunday"
"62","R",";","track - only monster"
"62","R","set","record of 6 : 47.48"
"62","R","set","750-hp 6.0-liter V12 engine"
"63","SEMA","show","raffles"
"64","raffles","prize","RS"
"64","RS","by","Ken Block"
"65","winner","get","ST Suspensions"
"65","winner","get","Fifteen52 Turbomac wheels"
"66","Toyota","filed","patent"
"66","patent","hints","STI"
"67","patent","in","Japan"
"67","patent","approved","this month"
"67","patent","with","Subaru"
"68","STI","featured","from Subaru"
"69","mass production","in","US"
"70","fast escape","from","crime"
"71","Fiat","confirmed","Jeep"
"72","videographers","created","documentary"
"72","videographers","showcasing","GoldRush Rally"
"73","journey","beginning in","San Diego"
"73","journey","ending in","Miami"
"74","Cadillac","missed","trick"
"75","no official word","from","Cadillac"
"76","Jaguar","create","F - Sleigh"
"76","F - Sleigh","based off","F - Type"
"77","F - Sleigh","with","skates"
"77","F - Sleigh","with","antlers"
"77","F - Sleigh","with","jet engine"
"78","Jaguar","unveiled","marketing exercise"
"78","Jaguar","at","London Edition hotel"
"79","F355","special in","transmission"
"80","Honda","revealed","Civic Type R"
"80","Honda","at","Geneva Motor Show"
"81","Civic Type R","set","Nurburgring record time"
"81","Civic Type R","overtaking","record holder"
"81","record holder",",","RS 275 Trophy - R"
"82","Morgan","revealed","updated Aero 8"
"82","Morgan","at","Geneva Motor Show"
"83","Mansory","take on","Huracan"
"84","Huracan","adds","carbon - fiber kit"
"84","carbon - fiber kit","wraps","front to end"
"84","Huracan","including","side skirts"
"85","Huracan","crushes","0 - 62 mph in 2.7 seconds"
"86","Porsche","at","Geneva"
"86","Porsche","debut","GT4"
"86","GT4",",","track - tuned car"
"86","GT4","outperforming","911s"
"87","Audi","comply","FIA GT3"
"88","Geneva Motor Show","unveiled","GTB"
"89","P1","with","1,000 horsepower"
