index,s1,r,s2
"0","Crispy Bird","opens in","Indianapolis"
"1","chef David Hoover","open","fried chicken shack"
"2","David Hoover","attended","culinary school"
"2","culinary school","in","France"
"2","David Hoover","in","Copenhagen"
"3","David Hoover","back in","Indianapolis"
"4","Patachou , Inc","in","Indianapolis area"
"5","creators","of","longest - running sketch show"
"5","longest - running sketch show","on","television"
"6","Hot Tub Love - ahs","don ’ t have","own bottle"
"7","Californians","associated with","Central Coast merlot"
"7","Stefon","’ s","vodka and Red Bull kind of guy"
"8","Japanese bento boxes","contain","light , healthy items"
"9","lunch delivery service","called","Gochikuru"
"9","two - foot - wide cow - shaped box full","of","wagyu beef"
"9","wagyu beef","from","Tottori Prefecture"
"9","wagyu beef","be","most delectable meat"
"9","most delectable meat","in","world"
"10","Lily Wen","into","tropical jungle"
"10","tropical jungle","her pickup truck","Taiwan"
"11","her pickup truck","in","Rukai language"
"12","Laoye 荖 葉","is","Mandarin name"
"13","Lily Wen","says in","Chinese"
"14","Michelin , the tire company","awards","fine dining destinations"
"14","Michelin , the tire company","released","2018 guide"
"14","2018 guide","to","Hong Kong"
"14","2018 guide","to","Macau"
"14","Michelin , the tire company","awards","stars"
"15","stars","including","Eater Essential 38 restaurant Lung King Heen"
"15","Eater Essential 38 restaurant Lung King Heen","from","Chinese chef"
"16","Times - Picayune","expose","pervasive harassment"
"16","pervasive harassment","within","Besh Restaurant Group"
"16","Besh Restaurant Group","in","New Orleans"
"16","Jen Agg","speaking out about","sexual harassment"
"17","Anthony Bourdain","decried","systemic sexism"
"17","Tom Colicchio","decried","systemic sexism"
"17","Daniel Patterson","decried","systemic sexism"
"18","Americans","own","cell phone"
"18","opportunistic restaurateurs","encouraging","smartphone usage"
"18","opportunistic restaurateurs","with","Instagram"
"19","photos","become","marketing"
"20","Starbucks","rode","Instagram"
"20","Starbucks","releasing","Unicorn"
"20","Cuban restaurant Media Noche","in","San Francisco ’ s Mission District"
"20","Cuban restaurant Media Noche","provides","Instagram - ready content"
"20","Instagram - ready content","in","Frappuccinos"
"20","Starbucks","releasing","Frappuccinos"
"21","Burger King","buying","Popeyes"
"21","Burger King","buying","Panera"
"21","Burger King","buying","Au Bon Pain"
"22","BWW","to","Roark Capital Group"
"22","Roark Capital Group","controls","Arby ’"
"22","Roark Capital Group","controls","sandwich chain Jimmy John ’ s"
"22","Roark Capital Group","controls","Carl ’ s Jr. and Hardee ’ s parent company CKE Restaurants"
"23","restaurant analyst Bonnie Riggs","of","market research firm NPD Group"
"24","contraption","with","words “ Mac & Cheese Nation"
"24","words “ Mac & Cheese Nation","looks like","cross"
"24","cross","between","electric kettle and a children ’ s toy"
"25","process","using","mac and cheese maker"
"26","longevity","isn ’ t","selling point"
"26","crank system","is","useless"
"27","mac and cheese chef","need","research"
"28","Nickelodeon","parent company","Viacom"
"28","Viacom","lawsuit","IJR Capital Investments"
"28","IJR Capital Investments","operating","The Krusty Krab Krab"
"28","Viacom","trademark","The Krusty Krab Krab"
"28","IJR Capital Investments","trademark","The Krusty Krab Krab"
"29","SpongeBob","works","The Krusty Krab"
"30","suffragettes","In","1920"
"30","suffragettes","fought","right to vote"
"31","Equal Rights Amendment","In","1972"
"32","Britney Spears","at","MTV Video Music Awards"
"32","MTV Video Music Awards","In","2001"
"33","MasterChef Junior","on","January 29 , 2016"
"33","first girl","winner","MasterChef Junior"
"34","The Food and Drug Administration","temporarily barring","genetically modified salmon"
"35","norovirus outbreak","linked to","New Theatre Restaurant"
"35","New Theatre Restaurant","in","Overland Park"
"35","Department of Health & Environment","state","Kan"
"36","McDonald","revealed","add mozzarella sticks to the menu"
"37","McDonald","testing","Wisconsin"
"38","Mensho","unveil","chocolate ramen"
"38","Tokyo","ramen chain","Mensho"
"39","Mensho","opens in","San Francisco"
"40","President Donald Trump","’ s","inauguration cake"
"40","inauguration cake","make","headlines"
"41","President Donald Trump","ordered","a Washington"
"41","DC bakery","produce","replica"
"41","replica","of","President Barack Obama ’ s 2013 cake"
"41","President Barack Obama ’ s 2013 cake","created","celebrity baker Duff Goldman"
"42","Trevor Noah","at","The Daily Show"
"43","People","casting","votes"
"43","votes","via","Twitter hashtag # TrumpCake"
"44","Oakland chef James Syhabout","on","Hawker Fare"
"45","Hawker Fare","closing","casualty"
"45","casualty","of","real estate frenzy"
"46","Syhabout","write","book"
"46","book","about","growing up"
"46","growing up","on","Oakland block"
"46","growing up","with","Lao refugee families"
"46","Thai restaurant","become","Hawker Fare —"
"46","his mom","operated","Thai restaurant"
"47","Eater","at","Movies , a column"
"47","Movies , a column","by","Joshua David Stein"
"48","Riverdale","—","home"
"48","home","of","Archie Andrews"
"49","Betty","are","strong independent women"
"49","Veronica","are","strong independent women"
"50","Mexico City chef Enrique Olvera","close","fine - dining sensation Pujol"
"51","Diners","familiar with","New York City restaurant Cosme"
"52","people","come in","not special - occasion restaurants ,"
"52","people","relax","not special - occasion restaurants ,"
"52","people","have","beautiful time"
"53","Monkfish","be","sea monster"
"53","sea monster","served in","restaurants"
"54","monkfish","In","stores"
"54","Adam Geringer - Dunn","of","Fresh Catch"
"54","Adam Geringer - Dunn","of","Greenpoint Fish & Lobster Co"
"54","Adam Geringer - Dunn","brought","monkfish"
"55","Monkfish","have","huge heads"
"56","Monkfish","attract","prey"
