index,s1,r,s2,t1,t2,ct1,ct2
0,Harry Reasoner,trial,attorney,/PERSON,,,
1,Forecasting,part of,Litigation Sciences,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
2,interviews,with,jurors,,,,
3,master 's degree,in,classical arts,,,,
3,master 's degree,in,deli,,,,
4,Litigation Sciences,represents,defense,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
5,corporate America,predicting,litigation,,,,
6,Litigation Sciences,is,law,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
7,Litigation Sciences,unit of,Saatchi & amp ; Saatchi PLC,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
7,Litigation Sciences,of,100 psychologists,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
8,billion jury verdict,against,Texaco Inc,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
9,defense,of,antitrust charges,,,,
9,antitrust charges,by,United States Football League,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
10,recall,of,mushrooms,,/SUBSTANCE,,
10,recall,blamed for,food poisoning,,,,
11,China,exported,65 million pounds,/GPE/COUNTRY /GPE,,,
11,65 million pounds,valued,47 million,,,,
12,spokesman,for,Chinese Embassy,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
13,management turnover,at,Reebok International,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
13,management turnover,resignation,president,,,,
13,Joseph LaBonte,joined,Reebok,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
14,LaBonte,follows,two months,/PERSON,,,
14,Mark Goldston,as,senior,/PERSON,,,
14,11 months,at,Reebok,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
15,alimony income,spotted by,computer,,,,
15,payer,gets,former spouse,,,,
16,Passport applicants,must give,Social Security numbers,,/ORGANIZATION,,
17,IRS computers,focus,target groups,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
18,IRS,are,local or regional,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
19,national office,has,21 noncriminal audit projects,,,,
20,Lipstein,absence,trouble,/PERSON,,,
21,Lipstein,in,telephone interview,/PERSON,,,
22,president,of,Meredith,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
23,American,unit of,Publishing,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
23,Express,unit of,Publications,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
24,Tharp,fouled,net,/PERSON,,,
24,net,on,IRS project,,/ORGANIZATION,,
24,IRS project,catch,catfish farmers,/ORGANIZATION,,,
25,Tharp,pleaded,guilty,/PERSON,,,
26,high income,with,phony tax shelters,,,,
26,losses,from,dentists,,,,
27,IRS,won,Church of Scientology,/ORGANIZATION/GOVERNMENT /ORGANIZATION,/ORGANIZATION,,
27,Church of Scientology,over,exemptions,/ORGANIZATION,,,
28,IRS statistics,show,income,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
28,hiders,of,sole proprietors,,,,
28,sole proprietors,among,dealers,,,,
28,sole proprietors,of,entertainment producers,,,,
29,Telemedia,publish,Eating Well,/ORGANIZATION /ORGANIZATION/CORPORATION,/WORK_OF_ART,,
29,Telemedia,publish,food,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
30,Hearst,publish,first issue,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
31,Time Warner,developing,spinoff,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
31,spinoff,of,kids,,,,
32,president,of,80 magazines,,,,
33,Schwartz,is a,business executive,/PERSON,,,
33,Schwartz,in,writer,/PERSON,,,
33,writer,in,New York,,/GPE/CITY /GPE,,
34,agent,of,Jackson,,/PERSON,,
36,Jackson,won,nickname,/PERSON,,,
36,Jackson,for,World Series exploits,/PERSON,,,
37,Jack Smalling,a,dealer,/PERSON,,,
37,dealer,in,Ames,,/GPE/CITY /GPE,,
39,Ramada,hopes to propose,new restructuring plan,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
40,Shares,of,American Medical International,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
40,American Medical International,agreed,lower price,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
40,lower price,agreed,group,,,,
40,group,from,First Boston,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
41,group,offering,a share,,,,
41,a share,for,63 million American Medical shares,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
43,McCaw,offering,125 a share,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
43,McCaw,for,22 million LIN shares,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
43,proposal,off,television properties,,,,
44,LIN shares,dropping,5,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
45,BellSouth,viewed,corporate buyer,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
46,Rattner,of,Lazard,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
47,volumes,of its,amount,,,,
48,Resource Partners,owner of,technology,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
48,Resource,of,royalty payments,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
49,Alan Gaines,of,New York money-management firm Gaines Berland,/PERSON,/GPE/CITY /PERSON /GPE,,
50,Steven Rattner,a,partner,/PERSON,,,
50,partner,with,merger specialist,,,,
51,Campeau,weakening,month,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
52,Diane S. Killory,will join,Morrison & amp ; Foerster,/PERSON,,,
52,Morrison & amp ; Foerster,as,partner,,,,
52,a partner,in,Washington,,/GPE/CITY /GPE,,
54,Killory,resigned as,Federal Communications Commission general counsel,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
55,woman,appointed,FCC general counsel,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
56,RICHARD P. MAGURNO,formerly,Eastern Airlines,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
56,RICHARD P. MAGURNO,joined,lawyer,/PERSON,,,
58,EC steel industry,coping,European demand,,,,
58,steel industry,supplying,market,,,,
