index,s1,r,s2
"0","President Trump","impose tariffs on","European Union-made products"
"0","President Trump","impose tariffs on","Volkswagen"
"0","President Trump","impose tariffs on","BMW"
"0","America","ambassador to Germany","Richard Grenell"
"0","Trump","ordered a 25 percent tariff on","imported steel"
"0","Trump","10 percent tariff on","aluminum"
"1","Aston Martin","see the","Silverstone Circuit"
"1","Aston Martin","continue to maintain","Nurburgring Performance Center"
"1","Aston Martin Lagonda","open a new central","London office"
"1","Aston Martin","announced","second production facility"
"1","Aston Martin","located","St. Athan"
"1","St. Athan","in","Wales"
"2","Mercedes","currently testing","electric vehicles"
"2","Mercedes","rolling out","hybrid technology"
"2","Mercedes","builds plug-in hybrid versions of","C-Class"
"2","Mercedes","builds plug-in hybrid versions of","GLC"
"2","Mercedes","builds plug-in hybrid versions of","GLE SUVs"
"2","EQ system","mated with","Mercedes"
"3","CX-5","important model in","Mazda"
"3","Mazda","sold in","America"
"3","California Air Resources Board","shows","CX-5"
"3","CX-5","offered in two flavors in","America"
"4","Z06","garnered a lawsuit against","GM"
"4","2019 Corvette ZR1","potential","airbag deployment issue"
"5","Rush","Released in","2013"
"5","Rush","directed by","Ron Howard"
"5","Steve McQueen","’ s","Le Mans"
"5","Rush","Starring","Chris Hemsworth"
"5","Rush","Starring","Daniel Bruhl"
"5","Rush","retold the story of","James Hunt"
"5","Rush","retold the story of","Niki Lauda"
"6","Robert Lighthizer",",","US trade representative"
"6","Robert Lighthizer","announced","trade measures"
"6","trade measures","of","tariffs"
"6","25-percent tariff","on","Chinese-made cars"
"6","General Motors","affected","Cadillac CT6 Plug-In Hybrid"
"6","Cadillac CT6 Plug-In Hybrid","built","China"
"6","Buick Envision crossover","built","China"
"6","General Motors","shipped","America"
"6","China","matching","25-percent tariff"
"7","Volkswagen","boasted","Jetta"
"7","Jetta","start","19,395"
"7","Jetta","powered","1.4-liter TSI engine"
"7","1.4-liter TSI engine","producing","147 horsepower"
"7","1.4-liter TSI engine","producing","184 lb-ft of torque"
"7","previous 2018 model","with","1.4-liter TSI engine"
"7","SE Sport","with","1.8-liter TSI engine"
"8","Portland",",","Oregon"
"8","Portland Anarchist Road Care","are","protesting"
"8","protesting","fixing","potholes"
"8","Portland Anarchist Road Care","attended","Pacific Coast city"
"8","Portland Anarchist Road Care","attended","to fix"
"8","services","like","healthcare"
"9","Subaru","look","Forester"
"9","Subaru","At","New York Auto Show"
"9","Subaru Global Platform","underpins","Forester"
"9","Subaru Global Platform","underpins","Impreza"
"9","Subaru Global Platform","underpins","Crosstrek"
"9","Subaru Global Platform","underpin","Outback"
"9","Subaru Global Platform","underpin","Legacy"
"9","Subaru Global Platform","underpin","WRX"
"9","Subaru Global Platform","underpin","WRX STI"
"10","IIHS","conducts","crash tests"
"10","crash tests","every","mainstream vehicle"
"10","Ford Escape","rating","poor"
"10","IIHS","tests","Ford Escape"
"10","Ford Escape","compromised","right-front passenger"
"10","Ford Escape","results","passenger side"
"10","passenger side","receive","acceptable"
"11","Volkswagen","’ s","diesel manipulation scandal"
"11","Dieter Zetsche",",","boss"
"11","boss","of","Daimler"
"11","Mercedes","parent company","Daimler"
"11","Mercedes","’","sales"
"11","sales","come from","diesel"
"11","Zetsche","told","sales"
"12","3s","rear-wheel drive variants","rear-wheel drive variants"
"12","3s","with","single electric motor"
"12","3s","with","long-range battery"
"12","Elon Musk",",","CEO"
"12","Tesla","'s","CEO"
"12","production","goal","5,000"
"12","goal","of","3s"
"13","Focus RS","like","AWD"
"13","E63","like","AWD"
"13","Ken Block",",","enthusiasts"
"13","Ken Block","interested","AWD"
"13","test","if","drift"
"13","test","conducted","RS3"
"13","test","conducted","A45"
"13","Ashley Oldfield","behind","test"
"14","Aston Martin","announced","five-year trade"
"14","Aston Martin","announced","investment drive"
"14","five-year trade","in","China"
"14","investment drive","in","China"
"14","five-year trade","worth","600 million GBP"
"14","investment drive","worth","600 million GBP"
"14","China","saw","89 percent growth rate"
"14","Aston Martin","in","China"
"15","Karl Benz","’ s","internal combustion three-wheeler"
"15","Benz Patent-Motorwagen",",","internal combustion three-wheeler"
"15","Mercedes-Benz","roots","Karl Benz"
"15","Mercedes-Benz","grown","range"
"15","range","every","size and shape"
"15","range-topping","named","S-Class"
"15","S-Class","debut","Technologies"
"15","Technologies","like","ABS"
"15","Technologies","like","airbags"
"16","National Corvette Museum","in","Kentucky"
"16","sinkhole","swallowed","eight historic one-off Corvettes"
"16","eight historic one-off Corvettes","at","National Corvette Museum"
"16","sinkhole","generated","publicity"
"16","National Corvette Museum","became","tourist attraction"
"16","two of the Corvettes","were","restored"
"16","restored","by","General Motors"
"16","Corvette","restored","AutoZone Maintenance and Preservation Area"
"16","1962 Chevrolet Corvette","donated to the","National Corvette Museum"
"17","Jerry Seinfeld","selling","Porsche cars"
"17","Porsche cars","worth","10 million"
"17","Jerry Seinfeld","selling","auction"
"17","12-car set","part of","James G. Hascall Collection"
"17","James G. Hascall Collection","referred to","50 Years of Porsche Excellence"
"17","cars","without","reserve"
"17","Hascall",",","military-industrial defense contractor"
"17","1987 959 Komfort","in","James G. Hascall Collection"
"18","Hyundai","at","Consumer Electronics Show"
"18","Consumer Electronics Show","(","CES"
"18","Consumer Electronics Show","in","Las Vegas"
"18","executives",",","senior Hyundai"
"18","executives","confirmed","two-seat hybrid supercar"
"18","Hyundai","hiring","Albert Biermann"
"18","Hyundai","hiring","Luc Donckerwolke"
"19","EMotion","at","CES"
"19","Fisker","revealed","EMotion"
"19","Henrik Fisker","’ s","new company"
"19","new company","’ s","Fisker Inc"
"19","EMotion","is","mid-sized electric sedan"
"19","EMotion","is","all-wheel drive"
"19","EMotion","is","all-electric range"
"19","Model S P100D","has","range of 335 miles"
"19","LG Chem","leading","battery supplier"
"20","GoodCarBadCar","published","sales figures"
"20","sales figures","for","every vehicle"
"20","sales figures","of","list"
