index,s1,r,s2
"0","sale","part of","program"
"0","KKR","'s","program"
"0","program","pay down","$ 5 billion"
"0","$ 5 billion","of","bridge loan"
"0","bridge loan",",","$ 6 billion"
"0","program","pay down","bridge loan"
"0","pay down","by","February"
"1","$ 2 billion","of","debt"
"1","$ 2 billion","repaid from","previous asset sales"
"1","$ 2 billion","from","two-part sale"
"1","two-part sale","of","Del Monte unit"
"2","to obtain","to obtain","top dollar"
"2","top dollar","for","smaller assets"
"2","smaller assets","like","candy brands"
"3","Louis Gerstner Jr",",","chairman"
"3","Louis Gerstner Jr",",","chief executive officer"
"3","chairman","of","RJR"
"3","chief executive officer","of","RJR"
"3","RJR",",","New York-based"
"4","KKR","bought","RJR"
"4","RJR","in","February"
"4","RJR","for","$ 25 billion"
"4","$ 25 billion","of","debt"
"4","KKR","agreed to sell","RJR assets"
"4","$ 5 billion","of","RJR assets"
"5","RJR","'s","executives"
"5","executives","dispense","certain brands"
"6","Butterfinger","are","chocolate bars"
"6","top-selling 15","in","U.S"
"6","RJR","'s","overall share"
"6","overall share","of","$ 5.1 billion market"
"6","overall share","less than","5 %"
"7","Nestle","'s","share"
"7","share","of","7 %"
"7","7 %","far below","shares"
"7","shares","of","market leaders"
"7","market leaders",",","Hershey Foods Corp"
"7","market leaders",",","Mars Inc"
"7","Hershey Foods Corp","have about","40 %"
"7","40 %","of","market"
"7","Mars Inc","have about","36 %"
"7","36 %","of","market"
"8","Lisbeth Echeandia",",","publisher"
"8","publisher","of","Confectioner Magazine"
"8","Confectioner Magazine",",","Fla.-based"
"8","Confectioner Magazine",",","Orlando"
"9","Arthur Klein",",","president"
"9","president","of","Young & amp ; Rubicam"
"9","Young & amp ; Rubicam","'s","New York office"
"9","Arthur Klein","temporarily","stepped down"
"9","stepped down","wake of","charges"
"9","charges","by","federal grand jury"
"9","federal grand jury","in","New Haven"
"9","charges","he","bribed"
"9","bribed","win","account"
"10","Alex Kroll","agency 's","chairman"
"10","Alex Kroll","an","internal memo"
"10","internal memo","said","Mr. Klein"
"11","Mr. Klein","work with","Mr. Kroll"
"11","Mr. Kroll","on","agency"
"11","agency","'s","joint venture activities"
"11","agency","'s","acquisitions"
"11","Mr. Klein","on","agency"
"12","Peter Georgescu",",","president"
"12","president","of","ad operations"
"12","Peter Georgescu","assume","day-to-day role"
"12","Mr. Klein","'s","day-to-day role"
"13","Wells Rich","'s","New Partner"
"14","Wells , Rich , Greene","named","Cheryl Heller"
"14","Cheryl Heller","as","executive vice president"
"14","Cheryl Heller","as","creative partner"
"14","executive vice president","its","image group"
"14","creative partner","its","image group"
"14","image group","concentrates","fashion"
"14","image group","concentrates","oriented advertising"
"15","Akzo","hopes to have","approval"
"15","approval","to","sell"
"15","sell","its","Marvelon pill"
"15","sell","in","U.S"
"15","sell","in","1992"
"16","Akzo","has","small operations"
"16","small operations","in","diagnostic tests"
"16","small operations","in","generic drugs"
"16","small operations","in","veterinary products"
"17","Veterinary products","showing","strong growth"
"18","flu shot","for","horses"
"18","flu shot","Among","leading products"
"19","resignation","as","Chancellor of the Exchequer"
"19","resignation","may be","good thing"
"19","good thing","forcing","Prime Minister Thatcher"
"19","good thing","forcing","her counterparts"
"19","Prime Minister Thatcher","confront","intellectual issues involved"
"19","her counterparts","confront","intellectual issues involved"
"19","intellectual issues involved","","genuine"
"20","Fleet Street reaction","captured in","Guardian headline"
"20","Guardian headline",",","Departure Reveals Thatcher Poison"
"21","British politicians","divide","chickens"
"21","chickens",",","two groups"
"21","two groups","those","their necks cut"
"21","two groups","those","screaming the sky is falling"
"22","two persons","behaving","dignity"
"22","dignity","recognizing","seriousness"
"22","seriousness","of","issues"
"22","two persons",":","Mr. Lawson"
"22","two persons",":","Sir Alan Walters"
"22","Chancellor","resigned","personal adviser"
"22","personal adviser","to","Mrs. Thatcher"
"23","problem","for","Prime Minister Thatcher"
"23","problem","for","President Bush"
"23","bickering","over","the dollar"
"23","bickering","between","Federal Reserve"
"23","bickering","between","Mulford Treasury"
