index,s1,r,s2
"0","Ren é Redzepi","is","World-renowned chef"
"0","Noma","is","Copenhagen restaurant"
"0","Hija de Sanchez","a","Copenhagen taco stand"
"0","Hija de Sanchez","from","Sanchez"
"0","Sanchez","former","Noma pastry chef"
"1","Mary Berry","to leave","The Great British Bake Off"
"1","Berry","return to","U.S. television"
"1","The Great American Baking Show","spin-off","Bake Off"
"1","The Great American Baking Show","premieres","Thursday night"
"1","The Great American Baking Show","on","ABC"
"1","The American Baking Competition","aired for","one season"
"1","The Great Holiday Baking Show","aired on","ABC"
"1","Johnny Iuzzini","a","James Beard award-winning pastry chef"
"2","two dozen protesters were arrested","In","Manhattan"
"3","Dining on a Dime","host","Lucas"
"3","Il Corvo","in","Pioneer Square"
"4","Lake Esquagama","in","Minnesota"
"5","Tokyo","capital","Japan"
"5","Tokyo","has","227 establishments with one or more stars"
"5","Osaka","second largest city","Japan"
"5","Osaka","has","96 restaurants with stars"
"5","Paris","gastronomic capital of","European"
"5","Sukiyabashi Jiro","subject of","Jiro Dreams of Sushi"
"5","Joel Robuchon","is","legendary French chef"
"6","Matthew Kang","is","Eater LA editor and host"
"6","Kristalbelli","a","high-end New York Korean barbecue establishment"
"6","Kristalbelli","offers","dry-aged and Wagyu beef"
"7","Gilmore Girls","is","beloved comedy-drama"
"7","Amy Sherman-Palladino","Creator","Gilmore Girls"
"8","Food Network","debut","Iron Chef Gauntlet"
"8","Iron Chef Gauntlet","in","spring 2017"
"8","Alton Brown","is","Broadway star"
"8","original Iron Chef","ran from","1993 to 1999"
"8","Iron Chef America","spinoff","original Iron Chef"
"8","Iron Chef America","debuted in","2005"
"9","Alton Brown","a","Culinary world hero"
"9","Alton Brown","mastermind","Good Eats"
"9","Barrymore Theater","in","Manhattan"
"10","Momofuku Ando","Invented","Cup Noodles"
"10","Cup Noodles","boosted","Japan ’ s economy"
"11","Meadowbrook Farms Dairy","in","Clarksville , NY"
"12","Lose","beta feature","Snap"
"13","West Elm","announced","line of hotels"
"13","line of hotels","open in","Detroit"
"13","line of hotels","open in","Savannah"
"13","West Elm","partner","DDK"
"13","line of hotels","planned for","Charlotte"
"13","line of hotels","planned for","Indianapolis"
"13","line of hotels","planned for","Minneapolis"
"14","Skylight Inn","In","North Carolina"
"14","Vivian Howard","visit to","Skylight Inn"
"14","Pete Jones","opened","Skylight Inn"
"14","Pete Jones","grandson","Sam Jones"
"14","Sam Jones","in charge","Skylight Inn"
"15","Dominique Ansel","unveiling","London bakery"
"15","London bakery","in","Belgravia"
"15","Belgravia","neighborhood of","West London"
