index,s1,r,s2
"0","Mexico City chef Enrique Olvera","close","fine-dining sensation Pujol"
"0","Mexico City chef Enrique Olvera","relocating","Pujol"
"0","Diners","familiar with","New York City restaurant Cosme"
"0","Mexico City chef Enrique Olvera","’ s","New York City restaurant Cosme"
"0","Mexico City chef Enrique Olvera","told","New York Times"
"0","Mexico City chef Enrique Olvera","like","not special-occasion restaurants ,"
"0","Mexico City chef Enrique Olvera","focusing","wood-fired cooking"
"0","people","come in","not special-occasion restaurants ,"
"0","people","relax","not special-occasion restaurants ,"
"0","people","have","beautiful time"
"1","Gail Halvorsen","pilot for","United States Air Force"
"1","Gail Halvorsen","during","World War II"
"1","Gail Halvorsen","took part in","Berlin Airlift"
"1","Berlin","controlled","Russian forces"
"1","United States Air Force","flew missions over","Berlin"
"1","Gail Halvorsen","known","Uncle Wiggly Wings"
"1","Gail Halvorsen","dropped","chocolate"
"1","chocolate","in","Berlin"
"2","Alex Guarnaschelli","appear","Guild Hall"
"2","Guild Hall","in","East Hampton , N.Y"
"2","Alex Guarnaschelli","joined by","Judy Gold"
"2","Alex Guarnaschelli","joined by","Karen Bergreen"
"2","Alex Guarnaschelli","joined by","Yamaneika Saunders"
"2","Alex Guarnaschelli","deliver","Busting My Chops"
"2","Chopped","judge","Alex Guarnaschelli"
"3","Hillary Clinton","nomination for","President"
"3","State dinner","under a","Trump White House"
"3","State dinner","served","McDonald 's"
"3","Katy Perry","look just like","Paula Deen"
"3","Shake Shack 's","opening","Seoul"
"3","Eataly","open","Manhattan"
"3","Italian","megamarket","Eataly"
"4","Dominique Ansel","unveiling","London bakery"
"4","London bakery","in","Belgravia"
"4","Belgravia","neighborhood of","West London"
"4","Dominique Ansel","mastermind","Cronut"
"4","Dominique Ansel","grew up in","France"
"6","Elliott Shaffner","restaurant critic","Richmond Times-Dispatch"
"6","Richmond Times-Dispatch","in","Richmond , Virginia"
"6","Richmond Times-Dispatch","dismissed","Elliott Shaffner"
"6","Elliott Shaffner","plagiarism","L.A. Weekly restaurant review"
"7","contraption","with","words “ Mac & Cheese Nation"
"7","words “ Mac & Cheese Nation","looks like","cross"
"7","cross","between","electric kettle and a children ’ s toy"
"7","process","using","mac and cheese maker"
"7","downsides","to","mac and cheese maker"
"7","mac and cheese maker","’ s","plastic"
