index,s1,r,s2,label
"0","The multiyear revitalization of Disney Springs","has transformed","Walt Disney World '","0"
"0","Walt Disney World '","s","former Downtown Disney","0"
"0","Walt Disney World '","s","a glimmering outdoor promenade","0"
"0","its core","is","just a sprawling waterfront mall","0"
"0","Disney Springs","is","just a sprawling waterfront mall","0"
"0","just a sprawling waterfront mall","split into","four pleasantly themed " neighborhoods","0"
"0","just a sprawling waterfront mall","split into","" it","0"
"0","four pleasantly themed " neighborhoods","doubles as","a culinary destination","0"
"0","four pleasantly themed " neighborhoods","doubles as","a number of lively bars","0"
"0","four pleasantly themed " neighborhoods","doubles as","impressive restaurants","0"
"0","four pleasantly themed " neighborhoods","doubles as","more than a few offerings","0"
"0","four pleasantly themed " neighborhoods","doubles as","recognizable names","0"
"0","" it","doubles as","a culinary destination","0"
"0","" it","doubles as","a number of lively bars","0"
"0","" it","doubles as","impressive restaurants","0"
"0","" it","doubles as","more than a few offerings","0"
"0","" it","doubles as","recognizable names","0"
"0","Walt Disney World ’ s former Downtown Disney","into","glimmering outdoor promenade","1"
"0","Disney Springs","doesn ’ t require","admission","1"
"0","Disney Springs","is","sprawling waterfront mall","1"
"0","sprawling waterfront mall","split into","four pleasantly themed “ neighborhoods","1"
"0","Disney Springs","as","culinary destination","1"
"0","culinary destination","with","lively bars","1"
"0","culinary destination","with","impressive","1"
"0","sprawling waterfront mall","’ s","shopping","1"
"0","sprawling waterfront mall","’ s","entertainment","1"
"1","This weekend","on","Instagram","0"
"1","fancy Chicago-based chef Grant Achatz","on","Instagram","0"
"1","Alinea","on","Instagram","0"
"1","Roister","on","Instagram","0"
"1","Next","on","Instagram","0"
"1","fancy NYC-based chef David Chang","in","New York","0"
"1","fancy NYC-based chef David Chang","in","( Fuku","0"
"1","Grant Achatz","at","14pm PDT Chang","0"
"1","Fuku","in","Manhattan","0"
"1","Manhattan","in","June 2015","0"
"1","June 2015","in","Manhattan","0"
"1","Manhattan","in","Shake Shack","0"
"1","Shake Shack","in","Manhattan","0"
"1","a saucy Salt & Pepper Honey Chick ' n sandwich","in","Manhattan","0"
"1","Chang","in","June 2015","0"
"1","Chang","in","Shake Shack","0"
"1","Fuku","in","Manhattan","0"
"1","a saucy Salt & Pepper Honey Chick ' n sandwich","at","Fuku","0"
"1","June 2015","in","Manhattan","0"
"1","June 2015","in","Shake Shack","0"
"1","Shake Shack","in","June 2015","0"
"1","a saucy Salt & Pepper Honey Chick ' n sandwich","in","June 2015","0"
"1","Shake Shack","in","Manhattan","0"
"1","a saucy Salt & Pepper Honey Chick ' n sandwich","in","Shake Shack","0"
"1","This fall","in","Manhattan","0"
"1","This fall","in","June 2015","0"
"1","a saucy Salt & Pepper Honey Chick ' n sandwich","in","Manhattan","0"
"1","This weekend","drew","his sword","0"
"1","fancy Chicago-based chef Grant Achatz","drew","his sword","0"
"1","Alinea","drew","his sword","0"
"1","Roister","drew","his sword","0"
"1","Next","drew","his sword","0"
"1","his sword","in","the fancy fried chicken wars","0"
"1","the fancy fried chicken wars","posted","a photo of his new fried chicken sandwich","0"
"1","a photo of his new fried chicken sandwich","on","Instagram","0"
"1","the caption","tagged","fancy NYC-based chef David Chang","0"
"1","fancy NYC-based chef David Chang","been rolling out","a line of fried chicken restaurants","0"
"1","a line of fried chicken restaurants","in","New York","0"
"1","a line of fried chicken restaurants","in","( Fuku","0"
"1","a line of fried chicken restaurants","in","the past year and a half","0"
"1","Grant Achatz","on","Oct 30 , 2016","0"
"1","@ grant_achatz","on","Oct 30 , 2016","0"
"1","Oct 30 , 2016","at","14pm PDT Chang","0"
"1","Other commenters","speculated on","sandwich","0"
"1","the rivalry","fired","" [ David Chang","0"
"1","the two superstar chefs with comments","fired","" [ David Chang","0"
"1","" Shots","fired","" [ David Chang","0"
"1","" [ David Chang","has","some work","0"
"1","the current fried chicken sandwich trend","unleashed fried chicken sandwich mania on","Manhattan","0"
"1","Chang","unleashed fried chicken sandwich mania on","Manhattan","0"
"1","Manhattan","launched","Fuku","0"
"1","Fuku","in","June 2015","0"
"1","Fuku","in","Shake Shack","0"
"1","June 2015","launched","its own chicken sandwich","0"
"1","June 2015","launched","the following month","0"
"1","Shake Shack","launched","its own chicken sandwich","0"
"1","Shake Shack","launched","the following month","0"
"1","its own chicken sandwich","taking","Fuku","0"
"1","its own chicken sandwich","taking","last January","0"
"1","the following month","taking","Fuku","0"
"1","the following month","taking","last January","0"
"1","This fall","heated up","Shake Shack","0"
"1","the fried poultry rivalry","heated up","Shake Shack","0"
"1","Shake Shack","launched","a saucy Salt & Pepper Honey Chick ' n sandwich","0"
"1","Shake Shack","launched","just a few weeks later","0"
"1","Shake Shack","launched","Chang","0"
"1","a saucy Salt & Pepper Honey Chick ' n sandwich","unveiled","a new sweet-and-spicy glazed chicken sandwich","0"
"1","just a few weeks later","unveiled","a new sweet-and-spicy glazed chicken sandwich","0"
"1","Chang","unveiled","a new sweet-and-spicy glazed chicken sandwich","0"
"1","a new sweet-and-spicy glazed chicken sandwich","at","Fuku","0"
"1","Grant Achatz","posted","Instagram","1"
"1","Grant Achatz","tagged","David Chang","1"
"1","Grant Achatz","Chicago-based","Chicago-based","1"
"1","David Chang","NYC-based","NYC-based","1"
"1","David Chang","launched","Fuku","1"
"2","Today marks four years","known as","the Fight","0"
"2","Today marks four years","known as","15","0"
"2","the labor movement","known as","the Fight","0"
"2","the labor movement","known as","15","0"
"2","the Fight","launched","American fast-food employees","0"
"2","the Fight","launched","other hourly workers","0"
"2","today","in","hundreds of cities","0"
"2","today","in","the country","0"
"2","a " National Day of Disruption","in","hundreds of cities","0"
"2","a " National Day of Disruption","in","the country","0"
"2","" protesters","in","hundreds of cities","0"
"2","" protesters","in","the country","0"
"2","hundreds of cities","are participating in","mass strikes","0"
"2","hundreds of cities","are participating in","sit-ins","0"
"2","the country","are participating in","mass strikes","0"
"2","the country","are participating in","sit-ins","0"
"2","mass strikes","bring","attention","0"
"2","mass strikes","bring","the cause","0"
"2","sit-ins","bring","attention","0"
"2","sit-ins","bring","the cause","0"
"2","Reports of peaceful arrests","have emerged in","a number of cities","0"
"2","a number of cities","including","Detroit","0"
"2","a number of cities","including","Chicago","0"
"2","a number of cities","including","Minneapolis","0"
"2","a number of cities","including","Houston","0"
"2","a number of cities","including","Los Angeles","0"
"2","a number of cities","including","dozens","0"
"2","Detroit","were taken into","custody","0"
"2","Chicago","were taken into","custody","0"
"2","Minneapolis","were taken into","custody","0"
"2","Houston","were taken into","custody","0"
"2","Los Angeles","were taken into","custody","0"
"2","dozens","were taken into","custody","0"
"2","custody","blocking","a roadway","0"
"2","traffic","including","multiple city council members","0"
"2","traffic","including","an 83-year-old McDonald ' s employee","0"
"2","old McDoanld 's worker","on","his 12th strike","0"
"2","Jose Carillo","on","his 12th strike","0"
"2","his 12th strike","gets arrested","# Fightfor15 pic","0"
"2","two dozen protesters were arrested","In","Manhattan","1"
"3","Congress","in","Food & Water Watch","0"
"3","The Food and Drug Administration","declared","genetically modified salmon","0"
"3","genetically modified salmon","eat","The Food and Drug Administration","0"
"3","imports","can publish","guidelines","0"
"3","The Food and Drug Administration","can publish","guidelines","0"
"3","guidelines","on","the product","0"
"3","The Food and Drug Administration","stated","" AquAdvantage salmon","0"
"3","the ban","is","a response","0"
"3","the ban","is","language","0"
"3","a response","in","a spending bill","0"
"3","language","in","a spending bill","0"
"3","a spending bill","passed by","Congress","0"
"3","Congress","forbid","the sale of genetically engineered salmon","0"
"3","Congress","forbid","The Food and Drug Administration","0"
"3","the sale of genetically engineered salmon","finalizes","rules","0"
"3","the sale of genetically engineered salmon","finalizes","The Food and Drug Administration","0"
"3","The Food and Drug Administration","finalizes","rules","0"
"3","the Washington Post","says that","process","0"
"3","process","could take","years","0"
"3","the ban","should put","detractors of genetically modified organisms","0"
"3","detractors of genetically modified organisms","at","ease","0"
"3","ease","at","the time","0"
"3","The Food and Drug Administration","ruled on","the salmon","0"
"3","The Food and Drug Administration","ruled on","Food & Water Watch","0"
"3","the salmon","issued","a statement","0"
"3","Food & Water Watch","issued","a statement","0"
"3","a statement","decrying","AquAdvantage 's approval","0"
"3","AquAdvantage 's approval","noting","parent company","0"
"3","AquAdvantage 's approval","noting","AquaBounty","0"
"3","parent company","has","some unsavory history","0"
"3","AquaBounty","has","some unsavory history","0"
"3","recent years","have dealt with","an accidental disease outbreak","0"
"3","recent years","have dealt with","an accident","0"
"3","AquaBounty facilities","have dealt with","an accidental disease outbreak","0"
"3","AquaBounty facilities","have dealt with","an accident","0"
"3","the United States","have dealt with","an accidental disease outbreak","0"
"3","the United States","have dealt with","an accident","0"
"3","an accidental disease outbreak","lead to","' lost ' salmon","0"
"3","an accidental disease outbreak","lead to","a $ 9,500 fine","0"
"3","an accidental disease outbreak","lead to","Panamanian regulators","0"
"3","an accident","lead to","' lost ' salmon","0"
"3","an accident","lead to","a $ 9,500 fine","0"
"3","an accident","lead to","Panamanian regulators","0"
"3","' lost ' salmon","found","AquaBounty","0"
"3","a $ 9,500 fine","found","AquaBounty","0"
"3","Panamanian regulators","found","AquaBounty","0"
"3","AquaBounty","in","breach of that country 's environmental laws","0"
"3","AquaBounty","in","the statement","0"
"3","The Food and Drug Administration","temporarily barring","genetically modified salmon","1"
"3","Washington Post","reports","The Food and Drug Administration","1"
"3","Congress","forbid","AquAdvantage salmon","1"
"3","AquAdvantage salmon","is","genetically modified salmon","1"
"3","AquAdvantage","parent company","AquaBounty","1"
"3","Panamanian regulators","fine","AquaBounty","1"
"3","AquaBounty","in breach","environmental laws","1"
"4","Case","in","Sugar Land","0"
"4","Case","in","point","0"
"4","Case","in","The team","0"
"4","Case","in","a Pizza Hut","0"
"4","point","in","Sugar Land","0"
"4","The team","in","Sugar Land","0"
"4","a Pizza Hut","in","Sugar Land","0"
"4","Sugar Land","baked","a bunch of pies","0"
"4","Sugar Land","baked","earlier this week","0"
"4","a bunch of pies","delivered","The team from a Pizza Hut in Sugar Land","0"
"4","a bunch of pies","delivered","kayak","0"
"4","a bunch of pies","delivered","people","0"
"4","earlier this week","delivered","The team from a Pizza Hut in Sugar Land","0"
"4","earlier this week","delivered","kayak","0"
"4","earlier this week","delivered","people","0"
"4","The team from a Pizza Hut in Sugar Land","were trapped in","their homes","0"
"4","The team from a Pizza Hut in Sugar Land","were trapped in","flooding","0"
"4","kayak","were trapped in","their homes","0"
"4","kayak","were trapped in","flooding","0"
"4","people","were trapped in","their homes","0"
"4","people","were trapped in","flooding","0"
"4","families","in","need","0"
"4","my husband","gather up","kayaks","0"
"4","Store manager Shayda Habib","waded through","the water with over a hundred pizzas","0"
"4","Store manager Shayda Habib","waded through","the kayaks","0"
"4","six of her employees","waded through","the water with over a hundred pizzas","0"
"4","six of her employees","waded through","the kayaks","0"
"4","The people","in","the houses","0"
"4","Store manager Shayda Habib","told","the Houston Chronicle","0"
"4","people","Amidst","Hurricane Harvey","1"
"4","people","of","Texas","1"
"4","people","banding","together","1"
"4","Store manager Shayda Habib","from","Pizza Hut","1"
"4","Pizza Hut","in","Sugar Land","1"
"4","Pizza Hut","baked","pies","1"
"4","Pizza Hut","to","people","1"
"4","people","due to","flooding","1"
"4","Store manager Shayda Habib","told","local news station KPRC","1"
"4","Store manager Shayda Habib","told","Houston Chronicle","1"
"5","A minor social media panic","on","Twitter and Facebook","0"
"5","beloved Texas chain Whataburger","on","Twitter and Facebook","0"
"5","Guy Fieri","know","Donkey Sauce","0"
"5","The frosted-tip-goatee model","has made","the condiment","0"
"5","mayor of Flavortown","has made","the condiment","0"
"5","USA","has made","the condiment","0"
"5","the condiment","on","everything","0"
"5","everything","spreading","its gospel","0"
"5","everything","spreading","cruise ships","0"
"5","everything","spreading","the world","0"
"5","USA","' s","a cornerstone of his empire","0"
"5","USA","' s","a mysterious sauce","0"
"5","a cornerstone of his empire","embodies","the mystique of the Fieri brand","0"
"5","a mysterious sauce","embodies","the mystique of the Fieri brand","0"
"5","the spiky-haired chef","made","waves","0"
"5","the spiky-haired chef","made","this week with the admission","0"
"5","the spiky-haired chef","made","the mysterious sauce","0"
"5","waves","is","an emulsion of olive oil","0"
"5","waves","is","garlic","0"
"5","waves","is","egg yolks","0"
"5","this week with the admission","is","an emulsion of olive oil","0"
"5","this week with the admission","is","garlic","0"
"5","this week with the admission","is","egg yolks","0"
"5","the mysterious sauce","is","an emulsion of olive oil","0"
"5","the mysterious sauce","is","garlic","0"
"5","the mysterious sauce","is","egg yolks","0"
"5","A minor social media panic","unfolded","earlier this week","0"
"5","A minor social media panic","unfolded","a prank article","0"
"5","earlier this week","claiming","beloved Texas chain Whataburger","0"
"5","a prank article","claiming","beloved Texas chain Whataburger","0"
"5","beloved Texas chain Whataburger","would shutter","all stores","0"
"5","all stores","did","the rounds","0"
"5","the rounds","on","Twitter and Facebook","0"
"5","The outcry","was","the chain ' s official Twitter","0"
"5","fans","was","the chain ' s official Twitter","0"
"5","a statement","refuting","the hoax","0"
"5","Guy Fieri","mayor of","Flavortown","1"
"5","sauce","embodies","Fieri brand","1"
"5","sauce","is","aioli","1"
"5","prank article","on","Twitter","1"
"5","prank article","on","Facebook","1"
"6","Gordon","in","Tills","0"
"6","Gordon Ramsay","loves","curse words","0"
"6","Gordon Ramsay","loves","a dog","0"
"6","curse words","loves","a bone","0"
"6","curse words","loves","anyone","0"
"6","a dog","loves","a bone","0"
"6","a dog","loves","anyone","0"
"6","a bone","s watched","MasterChef","0"
"6","a bone","s watched","MasterChef Junior","0"
"6","anyone","s watched","MasterChef","0"
"6","anyone","s watched","MasterChef Junior","0"
"6","MasterChef","knows that","the food media star","0"
"6","MasterChef Junior","knows that","the food media star","0"
"6","the food media star","adopts","a much softer tone","0"
"6","the food media star","adopts","Gordon Ramsay","0"
"6","a much softer tone","s talking to","children","0"
"6","Gordon Ramsay","s talking to","children","0"
"6","children","opposed to","adults","0"
"6","Part of MasterChef Junior '","s","strange appeal","0"
"6","strange appeal","is seeing","the F-bomb archer","0"
"6","the F-bomb archer","turn into","a cuddly pep-talker","0"
"6","the F-bomb archer","turn into","something","0"
"6","Gordon Ramsay","would apply","this same logic","0"
"6","Gordon Ramsay","would apply","his own children ' s cooking","0"
"6","Gordon Ramsay","would apply","the chef ' s 15-year-old daughter","0"
"6","Gordon Ramsay","would apply","Tilly","0"
"6","this same logic","tells","a slightly different story","0"
"6","his own children ' s cooking","tells","a slightly different story","0"
"6","the chef ' s 15-year-old daughter","tells","a slightly different story","0"
"6","Tilly","tells","a slightly different story","0"
"6","a recent visit","on","Monday","0"
"6","a recent visit","on","Tilly","0"
"6","UK","on","Monday","0"
"6","UK","on","Tilly","0"
"6","This Morning","on","Monday","0"
"6","This Morning","on","Tilly","0"
"6","Monday","explained","" He","0"
"6","Tilly","explained","" He","0"
"6","" He","s","a really fussy eater","0"
"6","" He","s","my food","0"
"6","Tilly","said that","her style of cooking","0"
"6","her style of cooking","is","Gordon Ramsay","0"
"6","one","s","a big deal","0"
"6","the ingredients","s","a big deal","0"
"6","the segment","showed","his soft side","0"
"6","Gordon","showed","his soft side","0"
"6","his soft side","in","a video message","0"
"6","his soft side","in","the chef ' s 15-year-old daughter","0"
"6","his soft side","in","Tills","0"
"6","a video message","s","your favorite chef","0"
"6","the chef ' s 15-year-old daughter","s","your favorite chef","0"
"6","Tills","s","your favorite chef","0"
"6","Tilly","learned","a lot","0"
"6","Tilly","learned","her mom","0"
"6","a lot","remarking","" It","0"
"6","her mom","remarking","" It","0"
"6","" It","s","just him","0"
"6","loves","loves","curse words","1"
"6","Gordon Ramsay","that","food media star","1"
"6","Gordon Ramsay","adopts","softer tone","1"
"6","softer tone","to","children","1"
